feature,importance
is_third_and_long,0.67181623
down,0.09085241
yardsToGo,0.087208375
quarter,0.06115096
is_medium_yardage,0.057992715
is_second_down,0.030979292
cv_receiver_defender_sep,0.0
yolo_mean_confidence,0.0
yolo_min_player_sep,0.0
yolo_ball_detected,0.0
yolo_player_count,0.0
cv_max_receiver_speed,0.0
cv_offense_spread,0.0
cv_throw_lane_defenders,0.0
cv_qb_pressure_count,0.0
spatial_pass_length,0.0
spatial_receiver_depth,0.0
spatial_avg_defender_speed,0.0
spatial_qb_pressure,0.0
spatial_receiver_defender_sep,0.0
is_long_yardage,0.0
is_short_yardage,0.0
is_fourth_down,0.0
is_third_down,0.0
is_first_down,0.0
yolo_offense_width,0.0
